,Term,Percentage of resources,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Cosine_with_mean
0,metaverse,0.05,503,1921,972,219,0.6296826150822509,0.7331224559675722
1,quantum computing,0.05,502,399,996,42,0.5127510720282193,0.7139625226569755
2,artificial intelligence,0.05,503,816,987,228,0.6461678001204936,0.7950788014539203
3,covid-19,0.05,478,1005,974,119,0.5576113974609223,0.7435957711315837
4,deep fake,0.05,532,403,934,300,0.5974157865075133,0.7666380409392805
5,windows 11,0.05,540,1349,984,37,0.5620936010446226,0.715706550447922
6,vpn,0.05,502,1985,1000,229,0.5886092335880381,0.7330313501674848
7,social media,0.05,503,937,972,209,0.6092476537883982,0.7981351096493531
8,chatGPT,0.05,518,651,990,206,0.8368534662744334,0.9207918875159795
9,oscars,0.05,527,783,987,158,0.1077494927856927,0.4734097810203956
10,Mean,,,,,,0.5648182118680585,0.7393472270950467
11,metaverse,0.1,503,1921,972,219,0.7084701762093861,0.7908169026772057
12,quantum computing,0.1,502,399,996,42,0.6480169725205968,0.8173894162577945
13,artificial intelligence,0.1,503,816,987,228,0.7107424381781108,0.8382819613641206
14,covid-19,0.1,478,1005,974,119,0.6350761604884433,0.7865306989274246
15,deep fake,0.1,532,403,934,300,0.6874362981449375,0.819272994972181
16,windows 11,0.1,540,1349,984,37,0.6690892508070803,0.7915451376050839
17,vpn,0.1,502,1985,1000,229,0.6801333871267929,0.7762060921551437
18,social media,0.1,503,937,972,209,0.7075549627731448,0.8797965297995571
19,chatGPT,0.1,518,651,990,206,0.8882828130358243,0.9388319015397012
20,oscars,0.1,527,783,987,158,0.13161153133916975,0.48676292828009793
21,Mean,,,,,,0.6466413990623486,0.7925434563578311
22,metaverse,0.2,503,1921,972,219,0.8090481975747771,0.8628237280664544
23,quantum computing,0.2,502,399,996,42,0.7335599952219822,0.8464023383643732
24,artificial intelligence,0.2,503,816,987,228,0.7830644121711708,0.8693662316723086
25,covid-19,0.2,478,1005,974,119,0.7272670637453705,0.8357221318723357
26,deep fake,0.2,532,403,934,300,0.8074458136071947,0.8745202911997402
27,windows 11,0.2,540,1349,984,37,0.7180512895943065,0.8028419802485095
28,vpn,0.2,502,1985,1000,229,0.758207520794102,0.82960201044047
29,social media,0.2,503,937,972,209,0.8137154630874246,0.9065441739128253
30,chatGPT,0.2,518,651,990,206,0.9386674878583209,0.9697243961343366
31,oscars,0.2,527,783,987,158,0.14208445635023273,0.5142643033434333
32,Mean,,,,,,0.7231111700004882,0.8311811585254787
33,metaverse,0.3,503,1921,972,219,0.8005762009697648,0.843873442346131
34,quantum computing,0.3,502,399,996,42,0.7780037904388579,0.8632001642951727
35,artificial intelligence,0.3,503,816,987,228,0.8541101001288656,0.9105322387385604
36,covid-19,0.3,478,1005,974,119,0.7688035648224344,0.8532456958890742
37,deep fake,0.3,532,403,934,300,0.8205390865504506,0.8760701184094564
38,windows 11,0.3,540,1349,984,37,0.7026029921439116,0.7807526148121335
39,vpn,0.3,502,1985,1000,229,0.7780652750623495,0.8415486254868659
40,social media,0.3,503,937,972,209,0.8284246334261918,0.9003600788801202
41,chatGPT,0.3,518,651,990,206,0.9426784968144618,0.9665353004498285
42,oscars,0.3,527,783,987,158,0.14325467991047428,0.5157433373905783
43,Mean,,,,,,0.7417058820267762,0.8351861616697921
44,metaverse,0.4,503,1921,972,219,0.7759703769667998,0.8242971093639615
45,quantum computing,0.4,502,399,996,42,0.8030008917743472,0.8796302714321015
46,artificial intelligence,0.4,503,816,987,228,0.8598798477478078,0.9112949043747738
47,covid-19,0.4,478,1005,974,119,0.8061733234691253,0.8643541583163645
48,deep fake,0.4,532,403,934,300,0.8421782601511744,0.890540179520842
49,windows 11,0.4,540,1349,984,37,0.7209247069609898,0.7845861197992617
50,vpn,0.4,502,1985,1000,229,0.7882275314991313,0.8409879177220126
51,social media,0.4,503,937,972,209,0.8512928928412495,0.9027750671151596
52,chatGPT,0.4,518,651,990,206,0.9520380468401288,0.9697959943418848
53,oscars,0.4,527,783,987,158,0.14821694333163768,0.498805814680632
54,Mean,,,,,,0.7547902821582392,0.8367067536666994
55,metaverse,0.5,503,1921,972,219,0.7718707464021232,0.8145031095971305
56,quantum computing,0.5,502,399,996,42,0.8194687978620249,0.8836985144015405
57,artificial intelligence,0.5,503,816,987,228,0.8504919869741392,0.889872016372447
58,covid-19,0.5,478,1005,974,119,0.8186144088075,0.8605086136056317
59,deep fake,0.5,532,403,934,300,0.8520988989572109,0.9000625271870253
60,windows 11,0.5,540,1349,984,37,0.7400874120170775,0.7965579938636359
61,vpn,0.5,502,1985,1000,229,0.8059024613259499,0.851609953144917
62,social media,0.5,503,937,972,209,0.859212676309626,0.9094198495679935
63,chatGPT,0.5,518,651,990,206,0.9645028976285801,0.9784217043866753
64,oscars,0.5,527,783,987,158,0.15148490121612462,0.4913677788393509
65,Mean,,,,,,0.7633735187500357,0.8376022060966347
66,metaverse,0.6,503,1921,972,219,0.7861986384142247,0.8236116024376804
67,quantum computing,0.6,502,399,996,42,0.8339154566845485,0.8880197634597077
68,artificial intelligence,0.6,503,816,987,228,0.858743410199044,0.8970484597550664
69,covid-19,0.6,478,1005,974,119,0.8111228706537199,0.8555119316172335
70,deep fake,0.6,532,403,934,300,0.8637850875033002,0.905598235421086
71,windows 11,0.6,540,1349,984,37,0.7605785178421369,0.8065455808672651
72,vpn,0.6,502,1985,1000,229,0.8128648411786332,0.8569922122762
73,social media,0.6,503,937,972,209,0.8579307449038923,0.906572883287603
74,chatGPT,0.6,518,651,990,206,0.9657632414318333,0.9771994770034038
75,oscars,0.6,527,783,987,158,0.16304458276720343,0.5020798937092953
76,Mean,,,,,,0.7713947391578536,0.8419180039834542
77,metaverse,0.7,503,1921,972,219,0.7906105792053264,0.8266653230387447
78,quantum computing,0.7,502,399,996,42,0.8344606607629788,0.8851863983470433
79,artificial intelligence,0.7,503,816,987,228,0.8559806927173106,0.8972338620958872
80,covid-19,0.7,478,1005,974,119,0.8160957413032572,0.8567912942327797
81,deep fake,0.7,532,403,934,300,0.8721505636715957,0.9072629499067119
82,windows 11,0.7,540,1349,984,37,0.7686774900180525,0.812827720939258
83,vpn,0.7,502,1985,1000,229,0.820170713322511,0.8566671805374098
84,social media,0.7,503,937,972,209,0.8729152500489328,0.9151966093261878
85,chatGPT,0.7,518,651,990,206,0.9666705519407537,0.9763198575875426
86,oscars,0.7,527,783,987,158,0.1628139501380726,0.5023824009207176
87,Mean,,,,,,0.7760546193128791,0.8436533596932283
88,metaverse,0.8,503,1921,972,219,0.7943632961270418,0.8284037896210774
89,quantum computing,0.8,502,399,996,42,0.832415603597703,0.8811706070856877
90,artificial intelligence,0.8,503,816,987,228,0.8597176063016909,0.896324545309684
91,covid-19,0.8,478,1005,974,119,0.819319683398614,0.8576425742850238
92,deep fake,0.8,532,403,934,300,0.88100789941386,0.9146732710487925
93,windows 11,0.8,540,1349,984,37,0.7681947957644325,0.8110242130824888
94,vpn,0.8,502,1985,1000,229,0.8177021693492719,0.8531894174112528
95,social media,0.8,503,937,972,209,0.8777295730387091,0.9155677400940782
96,chatGPT,0.8,518,651,990,206,0.969712766181335,0.9792278948748185
97,oscars,0.8,527,783,987,158,0.1568182392665121,0.5010756687159542
98,Mean,,,,,,0.777698163243917,0.8438299721528858
99,metaverse,0.9,503,1921,972,219,0.7933874005081791,0.8270075485287972
100,quantum computing,0.9,502,399,996,42,0.8284689925837763,0.8780907433405966
101,artificial intelligence,0.9,503,816,987,228,0.864399781887063,0.8977523008151145
102,covid-19,0.9,478,1005,974,119,0.823508990785638,0.8602918209466554
103,deep fake,0.9,532,403,934,300,0.8850597209859908,0.9185502649305594
104,windows 11,0.9,540,1349,984,37,0.7759564489160526,0.8139510008292811
105,vpn,0.9,502,1985,1000,229,0.8240007127583056,0.8548709853874317
106,social media,0.9,503,937,972,209,0.8796940792462185,0.9154206013053393
107,chatGPT,0.9,518,651,990,206,0.9702327757606022,0.9807249072224489
108,oscars,0.9,527,783,987,158,0.15925759999153039,0.49786746563279816
109,Mean,,,,,,0.7803966503423356,0.8444527638939022
110,metaverse,1,503,1921,972,219,0.7927893968393461,0.824621655410282
111,quantum computing,1,502,399,996,42,0.8362770108081227,0.8802991972984273
112,artificial intelligence,1,503,816,987,228,0.8689729385275692,0.899577720790485
113,covid-19,1,478,1005,974,119,0.821705395099757,0.8578181975251986
114,deep fake,1,532,403,934,300,0.8874920595050146,0.9204146130361457
115,windows 11,1,540,1349,984,37,0.7777229883816458,0.81515740231048
116,vpn,1,502,1985,1000,229,0.8240060529935886,0.8531300533036532
117,social media,1,503,937,972,209,0.8810206035041961,0.9138046764536967
118,chatGPT,1,518,651,990,206,0.9710057224796822,0.982234476204832
119,oscars,1,527,783,987,158,0.16697725918065084,0.49888872071188173
120,Mean,,,,,,0.7827969427319573,0.8445946713045083
